#Chinese homophony raw data
#Compiled by Stephen Politzer-Ahles, 2009-12-03
#This document was generated using Da Jun's character corpus <http://lingua.mtsu.edu/chinese-computing/> and
#  the Unihan database <http://www.unicode.org/charts/unihan.html> . If you use it for anything, please
#  credit these two sources accordingly

geng4	1  66F4
yao1	10  8981 4E48 7EA6 8170 9080 5996 592D 5406 7945 8A1E
xi3	10  559C 6D17 79A7 5F99 73BA 94E3 8478 5C63 84F0 87E2
she3	1  820D
zai1	5  707E 683D 54C9 753E 8CF3
peng2	16  670B 5F6D 9E4F 84EC 81A8 68DA 7BF7 6F8E 787C 87DB 580B 7E84 8283 9AFC 97FC 9B05
qi1	20  671F 4E03 59BB 6B3A 6EAA 6F06 621A 51C4 6816 7F09 8E4A 6C8F 5601 840B 6864 67D2 7895 90EA 8AC6 9D88
nei3	4  54EA 9981 9BBE 9BD8
yun2	14  4E91 5300 82B8 92C6 8018 7EAD 7B60 90E7 6600 84B7 7B7C 7703 7E67 7E1C
chen3	3  789C 8D02 8E38
wang1	2  6C6A 5C22
nian4	3  5FF5 5EFF 57DD
lin4	7  6DCB 8D41 541D 8E8F 853A 81A6 8F65
xia2	20  4FA0 8F96 5CE1 72ED 971E 6687 5323 7455 9050 9EE0 90C3 72CE 7856 67D9 796B 965C 938B 7FC8 7771 7E00
qiang2	6  5F3A 5899 8537 6A2F 5AF1 8262
fen4	9  5206 4EFD 594B 6124 7CAA 5FFF 507E 81B9 9CBC
zi1	32  8D44 4ED4 5179 59FF 6ECB 54A8 5431 5B5C 6DC4 8F8E 8C18 9F87 9AED 5B73 7F01 7CA2 8D40 9531 8A3E 5D6B 8D91 9CBB 83D1 89DC 8DA6 830A 858B 8458 79F6 9543 798C 9111
jiu1	9  7A76 7EA0 63EA 9E20 557E 8D73 9604 9B0F 7CFA
mang3	6  83BD 87D2 83BE 880E 6F2D 833B
hua4	7  8BDD 5316 534E 5212 753B 6866 7E63
yuan1	12  6E0A 51A4 9E33 9E22 7722 7BA2 9E53 875D 870E 847E 92FA 9F18
feng2	4  51AF 7F1D 9022 8242
luan4	2  4E71 91E0
huan3	2  7F13 7746
tuo1	7  6258 8131 62D6 4E47 8BAC 88A5 8203
chao3	3  5435 7092 9EA8
run4	2  6DA6 95F0
chan4	5  98A4 5FCF 7FBC 97C2 785F
zui3	2  5634 89DC
