#Chinese homophony raw data
#Compiled by Stephen Politzer-Ahles, 2009-12-03
#This document was generated using Da Jun's character corpus <http://lingua.mtsu.edu/chinese-computing/> and
#  the Unihan database <http://www.unicode.org/charts/unihan.html> . If you use it for anything, please
#  credit these two sources accordingly

geng4	1  66F4
yi4	77  610F 4E49 8BAE 6613 76CA 5F02 8863 827A 4EA6 4EBF 8BD1 5F79 7FFC 5FC6 6291 75AB 6BC5 8C0A 9038 6EA2 88D4 61FF 7ECE 5955 9091 8BE3 9A7F 7FCC 81C6 4F5A 5C79 8F76 71A0 5F0B 5F08 7FCA 5453 8734 858F 5208 7FBF 7F22 7FF3 9552 5CC4 6092 8084 6339 7654 4EE1 603F 4F7E 7617 57F8 5293 88A3 9571 6BAA 776A 9F78 85D9 84FA 9BA8 9DE7 7D4F 86E1 9D83 8939 88DB 8034 9950 8C77 9D8D 82C5 8B9B 8D00 87A0
fu1	12  592B 80A4 6577 5B75 8DBA 544B 8DD7 9EB8 7A03 911C 8C67 7D92
du3	7  809A 8D4C 5835 7779 7B03 89A9 967C
hao2	11  53F7 6BEB 8C6A 58D5 568E 55E5 869D 6FE0 8C89 8814 7C47
zhao1	9  7740 671D 62DB 662D 5632 948A 9F02 8B3F 99CB
zhu1	20  8BF8 6731 73E0 732A 682A 86DB 8BDB 94E2 4F8F 6F74 8331 6D19 6A65 69E0 90BE 7843 85F7 9F04 79FC 8829
lue3	1  63A0
cheng4	3  6210 79F0 79E4
zui1	1  7E97
ge1	14  54E5 6B4C 5272 6208 6401 80F3 9E3D 54AF 7599 572A 7EA5 88BC 95A4 9D10
za2	6  6742 54B1 7838 894D 96D1 97F4
sha1	16  6740 6C99 838E 5239 715E 7EB1 7802 6749 9CA8 94E9 88DF 75E7 95B7 7E7A 9BCB 8531
yu1	6  8FC2 6DE4 7600 7EA1 7A7B 76D3
kuai4	11  4F1A 5FEB 5757 7B77 810D 4FA9 72EF 54D9 6D4D 9C99 90D0
kui3	4  5080 8DEC 980D 8E5E
weng3	2  806C 84CA
tan1	5  8D2A 6EE9 644A 762B 574D
chuan4	2  4E32 948F
tian2	11  7530 586B 751C 606C 94BF 9617 778B 754B 9902 9D2B 78B5
jin1	13  91D1 4ECA 7981 6D25 65A4 7B4B 5DFE 895F 77DC 9485 887F 89D4 781B
ke2	3  58F3 54B3 988F
dian3	5  70B9 5178 7898 8E2E 84A7
zuo3	2  5DE6 4F50
en1	3  6069 55EF 84BD
yue4	17  6708 8D8A 4E50 9605 8DC3 5CB3 60A6 94A5 7CA4 6A3E 5216 94BA 9FA0 7039 7C46 8DAF 793F
ban3	6  7248 677F 5742 8228 94A3 8982
qiu2	22  6C42 7403 4EC7 56DA 88D8 914B 866C 6CC5 9052 4FC5 9011 9C3D 5DEF 72B0 8764 8D47 7D7F 86F7 92B6 8A05 808D 89D3
yin1	22  56E0 97F3 9634 59FB 6BB7 836B 8335 6E6E 6C24 5591 6D07 5819 94DF 9A83 798B 79F5 7D6A 95C9 88C0 9720 8491 967B
shei2	1  8C01
jing1	18  7ECF 7CBE 4EAC 60CA 775B 6676 8346 9CB8 830E 5162 83C1 65CC 6CFE 7CB3 8148 9F31 9E96 79D4
hai2	3  8FD8 5B69 9AB8
can1	3  53C2 9910 9A96
ku4	8  5E93 9177 88E4 7ED4 55BE 88B4 9F41 79D9
miao2	4  63CF 82D7 7784 9E4B
bo4	5  8584 67CF 7C38 64D8 6A97
rang4	1  8BA9
hui1	15  6325 7070 6062 8F89 5FBD 6656 8BD9 9EBE 867A 54B4 96B3 73F2 7FEC 7FDA 8C57
neus	1  83BB
kai1	3  5F00 63E9 950E
ju3	13  4E3E 67DC 77E9 6CAE 5480 6998 67B8 6989 9F83 8392 8E3D 849F 7B65
niu4	1  62D7
qu2	21  6E20 77BF 8862 883C 52AC 6710 766F 8556 9E32 74A9 8627 78F2 9F29 83C3 81D2 8DFC 6C0D 80CA 8837 81DE 844B
pai3	1  6392
tiao1	3  6311 4F7B 7967
ze4	2  4EC4 6603
ti2	16  63D0 9898 8E44 557C 7F07 7EE8 9E48 918D 8351 9CC0 8652 9046 7A49 8DA7 78C3 855B
lian2	17  8054 8FDE 601C 5EC9 83B2 5E18 9570 6D9F 6FC2 81C1 9CA2 88E2 880A 5941 938C 9B11 806B
dei3	1  5F97
lei4	7  7C7B 6CEA 7D2F 808B 64C2 57D2 9179
qiang4	3  8DC4 545B 709D
shu4	17  6570 672F 8FF0 6811 675F 6055 7AD6 5885 5EB6 6F31 620D 6F8D 8167 6CAD 88CB 8481 9D90
kuang4	12  51B5 77FF 6846 65F7 7736 909D 5739 7EA9 8D36 945B 7716 9ECB
lao2	9  52B3 7262 5520 5D02 75E8 91AA 985F 94F9 87E7
ya3	3  96C5 54D1 75D6
chun1	4  6625 693F 877D 8F34
wei1	15  59D4 5A01 5FAE 5371 840E 8587 5DCD 504E 5D34 7168 9036 8473 9688 9CC2 8468
dun3	2  76F9 8DB8
kuo4	9  62EC 6269 9614 5ED3 86DE 7B48 9729 79F3 979F
bu2	2  4E0D 91AD
yi1	17  4E00 533B 4F9D 8863 4F0A 63D6 6F2A 566B 58F9 54BF 94F1 7317 6B39 794E 9EDF 8886 86DC
bing4	4  5E76 75C5 6452 7ADD
xu	1  84FF
ai3	4  77EE 853C 55F3 972D
mou2	11  8C0B 725F 7F2A 7738 936A 86D1 4F94 8765 9D3E 9EB0 97AA
bu3	6  8865 6355 535C 54FA 535F 9CEA
qi4	20  6C14 5668 59BB 5F03 6C7D 5951 6CE3 8FC4 780C 4E9F 61A9 8BAB 789B 69ED 847A 78B6 6C54 78DC 78E9 9F1C
sou1	10  8258 641C 55D6 98D5 998A 953C 6EB2 878B 8490 84C3
mian2	5  68C9 7720 7EF5 77CA 7DDC
huo2	2  548C 6D3B
bang1	6  5E2E 90A6 508D 6886 6D5C 90AB
tun3	1  6C3D
diao3	1  9E3C
xie2	15  534F 80C1 90AA 978B 659C 643A 8C10 631F 9889 5055 64B7 7F2C 52F0 9FA4 7D8A
su1	6  82CF 7A23 9165 7AA3 9BC2 8613
sha3	2  50BB 7E4C
gong1	14  516C 5DE5 529F 4F9B 653B 5BAB 606D 5F13 8EAC 9F9A 86A3 89E5 80B1 78BD
ning3	2  62E7 77C3
dai4	23  5927 4EE3 5E26 5F85 6234 888B 8D37 902E 9EDB 6020 6B86 5CB1 8FE8 73B3 7519 9A80 7ED0 57ED 8F6A 825C 8976 7C24 9B98
suo1	14  7F29 838E 68AD 55E6 5506 5A11 84D1 6332 55CD 7FA7 7743 686B 9BBB 9AFF
na2	5  62FF 954E 8498 8ABD 79C5
lang2	13  90CE 72FC 5ECA 7405 8782 6994 9606 9512 93AF 8246 90DE 7A02 7FAE
pu1	4  6251 94FA 4EC6 5657
zhong3	4  79CD 80BF 51A2 8E35
chan1	3  63BA 6400 89C7
wang2	2  738B 4EA1
ge4	6  4E2A 5404 94EC 867C 784C 7B87
ran2	7  7136 71C3 9AEF 86BA 9AE5 8887 80B0
luo2	13  7F57 903B 87BA 841D 9523 9AA1 6924 7BA9 7321 9559 9A58 8136 9E01
gen2	1  54CF
zhao3	3  627E 722A 6CBC
zhuo2	17  7740 5353 62D9 707C 7422 914C 6D4A 5544 956F 8301 64E2 65AB 6FEF 6D5E 8BFC 9DDF 8817
qing2	6  60C5 6674 64CE 6C30 6AA0 9EE5
re4	1  70ED
he1	5  559D 5475 8BC3 55EC 881A
mi3	9  7C73 772F 9761 5F2D 6549 8288 8112 7C8E 845E
pang4	1  80D6
ting1	7  542C 5385 6C40 70C3 7D8E 9793 8074
chuai3	1  63E3
xia4	5  4E0B 590F 5413 53A6 7F45
lou3	3  6402 7BD3 5D5D
chen4	6  79F0 8D81 886C 8C36 6987 9F80
xi1	60  897F 606F 5E0C 5438 6790 6089 60DC 7A00 727A 5915 9521 6EAA 6670 819D 6614 563B 6816 7199 516E 7184 5B09 595A 7280 8785 66E6 87CB 71B9 8E4A 7FB2 6C50 70EF 8725 7699 91AF 550F 6DC5 50D6 7852 6B59 7AB8 7FD5 6D60 77FD 823E 7A78 6B37 6A28 90D7 7C9E 83E5 8C68 9F37 8C40 7CE6 93ED 774E 7902 9474 997B 7FD6
ting3	6  8247 633A 753A 94E4 6883 988B
di4	19  7684 5730 7B2C 5E1D 5F1F 8482 9012 7F14 8C1B 68E3 5A23 7747 78B2 7998 83C2 91F1 8163 9013 7976
ci4	5  6B21 523A 8D50 4F3A 83BF
huai4	1  574F
liang2	11  91CF 826F 7CAE 6881 51C9 8E09 7CB1 690B 8F8C 589A 7DA1
gao3	10  641E 7A3F 9550 69C1 6772 7F1F 85C1 83D2 7B76 85F3
zhun3	1  51C6
ou3	5  5076 5455 85D5 8026 8545
jia1	20  5BB6 52A0 4F73 5939 5609 8FE6 631F 67B7 8888 75C2 6D43 73C8 8DCF 7B33 846D 9553 9E9A 8C6D 8C91 8175
xiao3	5  5C0F 6653 7B71 7BE0 7B39
shou3	4  624B 9996 5B88 824F
jin4	18  8FDB 8FD1 5C3D 7981 52B2 664B 6D78 70EC 9773 5664 8369 89D0 7F19 5997 8D46 8CEE 9F7D 7972
guang4	2  901B 6844
lei2	12  96F7 7D2F 64C2 956D 7FB8 5AD8 7F27 8502 6A91 78E5 7F4D 9458
yan2	24  8A00 7814 4E25 5EF6 6CBF 708E 5CA9 989C 764C 76D0 960E 6A90 8712 7B75 598D 95EB 784F 963D 57CF 7D96 9EA3 7C37 839A 8A2E
xun4	14  8BAD 8FC5 8BAF 900A 9A6F 6B89 6D5A 6C5B 5F87 5DFD 8548 8A19 7A04 9868
zhuai1	1  62FD
tu2	12  56FE 5F92 9014 6D82 5C60 837C 83DF 9174 9D9F 934E 7A0C 9DF5
zang4	5  85CF 810F 846C 5958 81D3
cun1	3  6751 90A8 76B4
xin4	4  4FE1 8845 56DF 820B
jun4	2  83CC 6D5A
shuang1	6  53CC 971C 5B40 6CF7 9A3B 826D
ka1	3  5496 5580 5494
da3	1  6253
huang3	5  6643 8C0E 604D 5E4C 8A64
pian1	6  7247 7BC7 504F 6241 7FE9 728F
cui3	2  7480 7E40
bei4	21  88AB 5907 80CC 8D1D 500D 8F88 60EB 72C8 6096 94A1 84D3 7119 5B5B 789A 97B4 943E 8919 8A96 90B6 9AB3 9434
kua4	4  8DE8 630E 80EF 9ABB
zong3	4  603B 506C 7E02 84D7
pou2	2  638A 88D2
kong4	3  7A7A 63A7 979A
suan1	2  9178 72FB
fen2	9  575F 711A 6C7E 68FC 9F22 7FB5 9F16 9B75 86A1
rou4	1  8089
tan4	4  63A2 53F9 70AD 78B3
nv3	2  5973 9495
ming2	13  660E 540D 9E23 94ED 51A5 8317 7791 6E9F 879F 669D 7733 7700 910D
pian2	6  4FBF 533E 9A88 80FC 8E41 9ABF
dia3	1  55F2
fang1	7  65B9 82B3 574A 678B 531A 94AB 90A1
tun1	2  541E 66BE
guai1	1  4E56
dao3	7  5BFC 5012 5C9B 7977 8E48 6363 969D
tong3	5  7EDF 7B52 6876 6345 7D82
zheng1	14  6B63 4E89 5F81 75C7 6323 7741 6014 84B8 94EE 7B5D 72F0 5CE5 94B2 7BDC
di2	17  7684 654C 8FEA 72C4 7B1B 6DA4 5600 5AE1 7FDF 837B 7C74 955D 89CC 8E27 7BF4 976E 9B04
mo4	26  6CA1 83AB 9ED8 672B 58A8 78E8 6F20 62B9 964C 6CAB 5BDE 84E6 8309 6B81 79E3 8C89 9546 8C98 8C8A 8031 763C 7790 771C 85E6 8252 7C96
lu	1  6C07
ba1	13  516B 5427 5DF4 53ED 75A4 6252 82AD 7B06 7C91 634C 9C83 5C9C 91DF
ken3	6  80AF 6073 57A6 5543 9F88 80BB
cen2	2  5C91 6D94
ai1	6  57C3 54C0 6328 5509 54CE 953F
pa1	3  556A 8DB4 8469
liao3	4  4E86 77AD 948C 84FC
tou3	3  94AD 7D0F 98F3
jie	1  4EF7
ngag	1  922A
hou3	1  543C
ji3	10  5DF1 7ED9 51E0 6324 810A 621F 9E82 866E 9C7E 638E
la3	2  5587 85DE
beng3	2  7EF7 979B
mian3	11  514D 52C9 7F05 5195 5A29 817C 6E4E 9EFE 6E11 6C94 7704
you2	23  7531 6E38 6CB9 5C24 72B9 90AE 94C0 75A3 9C7F 7337 839C 83B8 7E47 8763 86B0 5C22 8F36 9C89 83A4 8764 904A 8698 84E7
shai3	1  8272
lao4	6  7EDC 5520 70D9 916A 6D9D 8022
men2	5  95E8 626A 9494 7A48 864B
lie3	1  54A7
yao3	8  54AC 6773 8200 7A88 5D3E 95C4 7A85 84D4
dian1	7  98A0 766B 6EC7 5DC5 6382 9F7B 8E4E
zhe3	4  8005 8936 8D6D 9517
zuo1	1  562C
ru4	8  5165 8925 7F1B 6D33 6EBD 84D0 9CF0 8FBC
lian4	9  7EC3 604B 70BC 94FE 6B93 695D 6F4B 934A 7A34
xing2	10  884C 5F62 578B 5211 90A2 784E 9967 8365 9649 94CF
hang2	9  884C 822A 676D 542D 9883 86A2 8FD2 7B10 7ED7
tui1	4  63A8 5FD2 85EC 84F7
nan4	1  96BE
gao1	11  9AD8 7CD5 818F 777E 7F94 768B 7BD9 69D4 9DF1 81EF 97DF
die1	2  8DCC 7239
leng2	6  68F1 695E 5844 7A1C 8590 8F18
dui4	10  5BF9 961F 5151 603C 7893 619D 931E 9566 794B 966E
ni1	1  59AE
kuan1	2  5BBD 9ACB
kun1	13  6606 5764 7428 951F 9AE1 9CB2 918C 88C8 9E4D 9AE0 88E9 872B 81D7
qia3	2  5361 8DD2
pei1	4  80DA 5478 9185 80A7
pen1	1  55B7
jue1	4  55DF 6485 5658 7E51
kai3	10  51EF 6168 607A 6977 94E0 95FF 9534 5240 8488 57B2
ma2	3  9EBB 87C6 8534
chuang1	3  521B 7A97 75AE
ke4	15  514B 5BA2 523B 8BFE 606A 55D1 7F02 6C2A 6E98 951E 9A92 8250 8894 78A6 790A
pai1	1  62CD
ya1	10  538B 5440 62BC 9E2D 54D1 9E26 4E2B 6860 57AD 94D4
geng1	8  66F4 8015 5E9A 8D53 7FB9 7D59 9E52 7E06
shuai1	3  8870 6454 7F1E
jian4	33  95F4 89C1 5EFA 4EF6 76D1 8230 5251 6E10 5065 952E 7BAD 8DF5 9274 8350 8D31 6E85 8C0F 69DB 50ED 6DA7 996F 8171 6BFD 9451 8E3A 6957 77B7 8AD3 7900 9373 8D9D 7E5D 81F6
bao4	11  62A5 66B4 62B1 7206 9C8D 8C79 7011 5228 8DB5 83E2 888C
hao4	11  597D 53F7 8017 6D69 7693 660A 9550 98A2 704F 9117 8583
fang4	1  653E
tao3	1  8BA8
qu1	19  533A 66F2 8D8B 9A71 5C48 8EAF 5C96 86D0 795B 86C6 8BCE 531A 9EE2 9EB4 88AA 80E0 9EB9 9EAF 9C38
o1	2  5662 5594
fiao	1  8985
jing3	11  8B66 666F 4E95 9888 9631 61AC 5106 80BC 522D 87FC 7A7D
chuang3	1  95EF
shui4	3  8BF4 7A0E 7761
pin2	5  8D2B 9891 82F9 5AD4 98A6
pang2	10  65C1 5E9E 8180 78C5 5F77 8783 9004 9CD1 8DBD 882D
jie4	15  89E3 754C 4ECB 501F 5C4A 6212 85C9 8BEB 82A5 75A5 86A7 9AB1 892F 8878 86F6
lu4	33  8DEF 9646 9732 5F55 9E7F 7984 788C 8D42 622E 9E93 6F09 7490 8F98 7B93 6F5E 9E6D 6E0C 902F 84FC 8F82 7C0F 8557 83C9 76DD 9D3C 7C2C 7CB6 9A3C 819F 9A04 7769 7A11 9181
lou	1  55BD
jiang4	11  5C06 964D 5320 8679 6D46 9171 7EDB 729F 7CE8 6D1A 8B3D
zuan4	3  94BB 8D5A 6525
cao2	7  66F9 69FD 5608 6F15 87AC 825A 84F8
bo1	12  6CE2 64AD 73BB 62E8 5265 94B5 997D 83E0 8DB5 78FB 889A 8E73
la1	5  62C9 5566 5783 5587 908B
zu3	5  7EC4 7956 963B 8BC5 4FCE
lou1	1  6402
dun1	7  5428 6566 8E72 58A9 7905 8E7E 9566
hai4	5  5BB3 9A87 4EA5 6C26 9900
bie4	1  522B
hui3	3  6BC1 6094 867A
biao1	16  6807 5F6A 9556 98D9 9573 8198 98DA 9AA0 6753 9ADF 8D06 98D1 9E83 81D5 813F 85E8
heng4	1  6A2A
rong4	1  7A43
fei4	14  8D39 5E9F 80BA 6CB8 72D2 5420 82BE 7829 602B 75F1 9544 7B30 8561 9AF4
xiang2	5  964D 8BE6 7965 7FD4 5EA0
qi2	47  5176 53EA 5947 9F50 9A91 65D7 6B67 68CB 7948 5D0E 9CCD 742A 7426 7941 797A 8006 8110 5C90 6DC7 82AA 9E92 7566 86F4 573B 9880 7947 8572 7DA6 4E93 8360 9A90 8401 7881 871E 9CAF 8DC2 8ED9 9EA1 79A5 9B10 9B3F 8691 7AD2 7E83 8269 7CB8 87A7
chen1	5  741B 55D4 62BB 90F4 7D9D
zhuan4	9  4F20 8F6C 8D5A 64B0 7BC6 9994 556D 8483 7C28
pang1	4  8180 4E53 6EC2 96F1
long4	2  5F04 8856
zhui1	5  8FFD 690E 9525 9A93 96B9
ta1	9  4ED6 5979 5B83 584C 9062 8DBF 94CA 7942 6EBB
shen1	19  8EAB 6DF1 53C2 7533 4F38 7EC5 547B 5A20 8398 7837 8BDC 7CC1 9CB9 84E1 8518 9BF5 7C76 8460 9BD3
so	1  87A6
nu3	3  52AA 5F29 80EC
gen4	3  4E98 826E 831B
gun3	7  6EDA 886E 9CA7 7EF2 8F8A 78D9 9B8C
qiong1	1  928E
guo4	1  8FC7
ye4	18  4E1A 591C 53F6 9875 6DB2 54BD 62FD 66F3 8C12 814B 6396 90BA 6654 70E8 9765 9437 7DE4 9371
ping1	3  4E52 5A09 4FDC
duo4	9  5815 8235 60F0 9A6E 8DFA 579B 5241 6CB2 9973
pi4	9  8F9F 5C41 8B6C 50FB 5AB2 7765 7513 6DE0 95E2
gang4	3  6760 6206 7B7B
can4	4  707F 74A8 7CB2 5B71
kan3	6  780D 574E 4F83 69DB 7AF7 8F57
ci2	15  8BCD 8F9E 6148 78C1 8328 74F7 96CC 7960 9E5A 7CCD 8308 9908 9236 9D1C 98FA
wen4	5  95EE 7D0A 6C76 74BA 9850
qie2	3  4F3D 8304 807A
wai3	1  5D34
cuo1	4  6413 78CB 64AE 8E49
zong1	14  5B97 7EB5 7EFC 8E2A 68D5 9B03 9BEE 8159 78EB 8E28 9B09 9A23 7DF5 9A94
Shan3	1  9655
shuo4	10  6570 7855 70C1 6714 69CA 94C4 84B4 5981 6420 77DF
ne	2  5462 5450
ci1	4  5DEE 75B5 5472 8DD0
mang2	11  5FD9 832B 76F2 8292 6C13 9099 786D 94D3 9F92 99F9 7B00
sun3	4  635F 7B0B 96BC 69AB
leng3	1  51B7
han1	7  9163 61A8 9F3E 86B6 9878 8C3D 9B7D
na3	2  90A3 54EA
cu4	9  4FC3 5352 7C07 918B 731D 8E59 8E74 9863 851F
jing4	17  5883 7ADF 9759 7ADE 656C 955C 5F84 52B2 51C0 9756 75C9 80EB 8FF3 9753 5A67 734D 7AF8
zhou4	13  5B99 76B1 9AA4 5492 663C 80C4 7EA3 7EC9 7E47 7C40 914E 7C52 836E
weng1	3  7FC1 55E1 9E5F
kuai3	1  84AF
he2	30  548C 5408 4F55 6CB3 6838 8377 76D2 988C 79BE 52BE 6DB8 9602 9616 9FA2 7EA5 83CF 66F7 8C89 76CD 7FEE 9978 9F81 76C7 97A8 7CAD 9EA7 8988 9E56 7909 76C9
que4	8  5374 786E 96C0 9619 9E4A 69B7 9615 60AB
duo2	3  593A 8E31 94CE
fan3	3  53CD 8FD4 6535
chuan2	5  4F20 8239 693D 9044 8221
shuang3	1  723D
ri4	2  65E5 9224
zen3	1  600E
er4	4  4E8C 8D30 4F74 8CAE
xue4	2  8840 8C11
qian3	6  6D45 9063 8C34 80B7 7F31 8738
xiong1	7  5144 80F8 51F6 5308 6C79 828E 8A7E
wen1	7  6E29 761F 8570 9CC1 7F0A 8F92 7DFC
rui2	2  8564 7DCC
nian3	7  637B 8F97 78BE 64B5 8F87 8E68 8DC8
zhao4	10  7167 8D75 53EC 7F69 5146 8BCF 8087 7B0A 68F9 9BA1
kan4	5  770B 77B0 961A 78E1 77D9
nang1	1  56D4
yin4	7  5370 836B 80E4 7AA8 831A 9682 9173
yun3	6  5141 9668 6B92 72C1 99BB 9723
zhou2	3  8F74 59AF 78A1
xiao4	7  7B11 6548 6821 8096 5B5D 5578 8A68
man3	2  6EE1 87A8
bei	1  5457
zuan3	4  7E82 7F35 7E64 7E89
zhi1	21  4E4B 53EA 77E5 652F 7EC7 679D 829D 8102 80A2 6C41 8718 7957 80DD 536E 6800 9D32 80D1 887C 7994 9F05 79B5
xiang1	14  76F8 9999 4E61 7BB1 6E58 53A2 9576 8944 9AA7 8297 7F03 8459 7E95 8618
fang3	6  8BBF 4EFF 7EBA 822B 9AE3 7706
zhi2	17  76F4 503C 804C 6267 690D 6B96 4F84 86F0 8E2F 646D 8DD6 8E60 7D77 57F4 9244 7983 81B1
tuo2	20  9640 9A7C 9A6E 9E35 6CB1 6A50 4F57 7823 8DCE 9F0D 5768 9161 67C1 9641 9B80 8889 8FC6 99DE 7824 9C53
sa4	4  8428 5345 98D2 810E
lie	0 
feng3	2  8BBD 552A
dan1	15  5355 62C5 4E39 803D 7708 90F8 6B9A 8043 510B 7BAA 9156 7605 8078 8EAD 894C
huan2	17  8FD8 73AF 6853 5BF0 6D39 571C 8411 9B1F 9E6E 953E 7F33 8F58 961B 956E 8408 7D84 778F
pian4	3  7247 9A97 9B78
xian2	14  95F2 5ACC 8D24 5F26 8854 54B8 8237 5A34 6D8E 75EB 9E47 86BF 9DFC 9DF4
tao1	11  6D9B 638F 6ED4 53E8 7118 97EC 9955 7EE6 98F8 8B1F 7E1A
shou1	1  6536
ye1	4  8036 6396 6930 564E
xu2	1  5F90
ping2	14  5E73 8BC4 51ED 74F6 5C4F 840D 82F9 576A 9C86 67B0 8060 86E2 84F1 7F3E
bin1	15  5BBE 658C 6EE8 5F6C 6FD2 7F24 69DF 50A7 73A2 8C73 9554 90A0 8819 8A1C 780F
jie3	3  89E3 59D0 98F7
za1	7  624E 5482 531D 62F6 81DC 7D2E 9254
da4	1  5927
ku1	10  54ED 67AF 7A9F 9AB7 5800 77FB 5233 8DCD 7A8B 90C0
ba	2  5427 7F62
a	2  963F 554A
qun2	2  7FA4 88D9
zai4	5  5728 518D 8F7D 7E21 9168
ma	4  4E48 5417 561B 87C6
lv3	14  65C5 5415 5C65 5C61 4FA3 7F15 94DD 634B 891B 507B 8182 7D7D 7A06 90D8
rou2	7  67D4 63C9 8E42 97A3 7CC5 816C 8447
wei3	27  59D4 552F 4F1F 5C3E 4F2A 7EAC 840E 82C7 5A13 7325 8BFF 75FF 709C 9697 73AE 97EA 8249 9C94 6D27 9820 9AAB 78C8 784A 8DA1 9AA9 853F 873C
gua3	2  5BE1 5250
men4	3  95F7 61D1 7116
san3	5  6563 4F1E 9993 7CC1 7E56
niu2	1  725B
mao2	12  6BDB 77DB 8305 9AE6 951A 7266 87CA 65C4 8765 8306 9AF3 9D9C
wo4	13  63E1 6C83 5367 65A1 6E25 9F8C 5E44 786A 809F 81E5 99A7 8267 96D8
ting4	1  542C
luo4	13  843D 6D1B 7EDC 54AF 9A86 645E 73DE 96D2 6F2F 8366 6CFA 8316 7B3F
cao1	2  64CD 7CD9
yuan2	28  539F 5458 5143 6E90 56ED 5706 63F4 7F18 8881 733F 57A3 8F95 5A9B 6C85 7230 9F0B 571C 82AB 8788 586C 6A7C 9228 8D20 9DA2 7E01 8911 8597 7B0E
ti4	13  66FF 60D5 6D95 5C49 5243 568F 501C 608C 9016 88FC 8599 9037 9B00
chong1	9  5145 51B2 5FE1 61A7 8202 825F 7FC0 833A 8E56
juan3	5  5377 9529 8E21 81C7 854B
tuan1	2  6E4D 8C92
ha2	1  86E4
hong1	7  8F70 54C4 70D8 8A07 85A8 9367 8EE3
bian4	14  53D8 4FBF 904D 8FA9 8FA8 8FAB 6C74 535E 5F01 82C4 7F0F 5FED 898D 8251
dong3	3  61C2 8463 7BBD
nei4	2  90A3 5185
dou4	10  6597 8BFB 8C46 9017 7AA6 75D8 997E 9597 8130 8373
meng1	1  8499
wo1	7  7A9D 6DA1 5594 502D 631D 8717 83B4
kang2	1  625B
mao1	1  732B
ang1	1  80AE
pa4	2  6015 5E15
cu2	2  5F82 6B82
tang2	16  5510 5802 7CD6 5858 68E0 819B 642A 87B3 9967 746D 91A3 6A18 6E8F 9557 8797 78C4
zhen3	10  8BCA 6795 75B9 7F1C 7A39 755B 8F78 8897 8999 7715
yu3	22  4E0E 8BED 4E88 96E8 5B87 7FBD 5C7F 79B9 9F89 4FE3 5EBE 5704 7AB3 4F1B 5709 7610 8C90 9828 877A 85C7 7964 860C
chao2	6  671D 6F6E 5DE2 5632 6641 911B
shua1	2  5237 5530
di1	12  63D0 4F4E 6EF4 5824 5600 6C10 7F9D 955D 97AE 78FE 889B 9684
zhan3	8  5C55 65A9 76CF 5D2D 8F97 640C 98D0 9186
wu3	17  4E94 6B66 5348 821E 4F0D 4FAE 6342 9E49 59A9 5E91 5FE4 8FD5 6003 4EF5 727E 81B4 7894
lie1	1  54A7
shi4	38  662F 4E8B 4E16 5E02 5F0F 58EB 793A 89C6 52BF 8BD5 9002 5BA4 91CA 6C0F 9970 4F8D 8A93 901D 8F7C 55DC 4ED5 6043 566C 62ED 67FF 8C25 8210 5F11 87AB 7B6E 83B3 94C8 8AE1 8D33 770E 7C42 9243 896B
cun2	1  5B58
zha1	9  67E5 624E 6E23 55B3 6942 63F8 8E45 9F44 54F3
pu4	5  5821 94FA 7011 66DD 8216
qin1	8  4EB2 4FB5 94A6 887E 9A8E 9BBC 7D85 83F3
chi1	13  5403 75F4 55E4 54E7 86A9 7B1E 9B51 5AB8 87AD 9E31 90D7 7735 9D44
ken4	1  88C9
ta3	3  5854 9CCE 736D
tie4	2  5E16 992E
dun4	11  987F 76FE 5428 949D 9041 6C8C 7096 56E4 7818 906F 9007
zao4	10  9020 8E81 71E5 7076 566A 7682 5523 8B5F 8DAE 8241
niao4	3  5C3F 6EBA 8132
shao3	1  5C11
chai2	3  67F4 8C7A 4FAA
cuo3	1  811E
nao2	6  6320 5476 86F2 7847 94D9 7331
long3	4  5784 62E2 9647 5785
gou4	12  6784 591F 8D2D 52FE 57A2 5ABE 8BDF 5F40 89CF 9058 96CA 8A3D
sang4	1  4E27
qing3	4  8BF7 9877 8B26 82D8
wen2	12  6587 95FB 7EB9 868A 96EF 960C 739F 95C5 95BA 9F24 87A1 9B70
yong2	2  5581 9C2B
kui4	12  6E83 6127 9988 532E 559F 7BD1 8069 6126 806D 8489 7C44 993D
xun1	10  52CB 718F 85B0 91BA 736F 57D9 7AA8 66DB 81D0 77C4
ming3	1  9169
peng4	1  78B0
hun4	3  6DF7 8BE8 6EB7
po2	3  5A46 9131 76A4
ao1	3  71AC 51F9 9D22
geng3	7  803F 6897 54FD 57C2 9CA0 7EE0 9ABE
pie1	3  77A5 6487 6C15
tai2	9  62AC 82D4 8DC6 85B9 90B0 70B1 9A80 9C90 83ED
hou2	11  4FAF 5589 7334 7CC7 9ABA 7BCC 777A 8144 760A 7FED 8454
zun1	9  5C0A 9075 6A3D 9CDF 9D8E 940F 9DF7 7F47 7E5C
ru3	3  4E73 8FB1 6C5D
he4	11  548C 559D 8D6B 8377 8D3A 9E64 8910 58D1 7FEF 96BA 9E16
sang1	2  4E27 6851
shu1	20  4E66 8F93 6B8A 53D4 8212 758F 67A2 6DD1 68B3 852C 500F 6292 7EBE 83FD 6BB3 59DD 6445 6BF9 9D68 7D80
quan1	3  5708 609B 8143
